stasiun_id,horizon,definition,method,tp,fp,fn,f1,csi,pod,far,n_obs_hours
167,6,p95,lstm,526,261,523,0.5729847494553377,0.4015267175572519,0.5014299332697807,0.33163913595933925,1049
167,6,p95,persistence,651,398,398,0.6205910390848427,0.4498963372494817,0.6205910390848427,0.3794089609151573,1049
167,6,rise,lstm,294,225,714,0.3850687622789784,0.2384428223844282,0.2916666666666667,0.43352601156069365,1008
167,6,rise,persistence,343,347,665,0.4040047114252061,0.25313653136531367,0.3402777777777778,0.5028985507246376,1008
167,6,siaga3,lstm,0,0,28,0.0,0.0,0.0,,28
167,6,siaga3,persistence,16,12,12,0.5714285714285714,0.4,0.5714285714285714,0.42857142857142855,28
167,12,p95,lstm,156,176,893,0.22592324402606806,0.1273469387755102,0.14871306005719734,0.5301204819277109,1049
167,12,p95,persistence,423,626,626,0.40324118207816967,0.2525373134328358,0.40324118207816967,0.5967588179218303,1049
167,12,rise,lstm,101,117,875,0.16917922948073702,0.09240622140896615,0.10348360655737705,0.536697247706422,976
167,12,rise,persistence,172,371,804,0.22646477946017116,0.1276911655530809,0.1762295081967213,0.6832412523020258,976
167,12,siaga3,lstm,0,0,28,0.0,0.0,0.0,,28
167,12,siaga3,persistence,5,23,23,0.17857142857142858,0.09803921568627451,0.17857142857142858,0.8214285714285714,28
167,24,p95,lstm,89,116,959,0.1420590582601756,0.07646048109965636,0.08492366412213741,0.5658536585365853,1048
167,24,p95,persistence,341,708,707,0.3252265140677158,0.19419134396355353,0.32538167938931295,0.674928503336511,1048
167,24,rise,lstm,17,25,984,0.032598274209012464,0.016569200779727095,0.016983016983016984,0.5952380952380952,1001
167,24,rise,persistence,77,298,924,0.1119186046511628,0.059276366435719784,0.07692307692307693,0.7946666666666666,1001
167,24,siaga3,lstm,0,0,28,0.0,0.0,0.0,,28
167,24,siaga3,persistence,0,28,28,0.0,0.0,0.0,1.0,28
169,1,p95,lstm,1301,98,150,0.9129824561403509,0.8398967075532602,0.8966230186078566,0.07005003573981415,1451
169,1,p95,persistence,1203,242,248,0.8308011049723757,0.7105729474305966,0.8290833907649897,0.1674740484429066,1451
169,1,rise,lstm,1018,78,130,0.9073083778966132,0.8303425774877651,0.8867595818815331,0.07116788321167883,1148
169,1,rise,persistence,924,199,224,0.8137384412153237,0.6859688195991092,0.8048780487804879,0.1772039180765806,1148
169,1,siaga3,lstm,58,17,25,0.7341772151898734,0.58,0.6987951807228916,0.22666666666666666,83
169,1,siaga3,persistence,58,25,25,0.6987951807228916,0.5370370370370371,0.6987951807228916,0.30120481927710846,83
169,6,p95,lstm,547,190,904,0.5,0.3333333333333333,0.3769813921433494,0.25780189959294436,1451
169,6,p95,persistence,373,1073,1078,0.2575077666551605,0.14778129952456417,0.2570640937284631,0.7420470262793915,1451
169,6,rise,lstm,357,145,786,0.4340425531914894,0.27717391304347827,0.3123359580052493,0.28884462151394424,1143
169,6,rise,persistence,201,884,942,0.18043087971274685,0.09916132215096202,0.17585301837270342,0.8147465437788018,1143
169,6,siaga3,lstm,0,0,83,0.0,0.0,0.0,,83
169,6,siaga3,persistence,11,72,72,0.13253012048192772,0.07096774193548387,0.13253012048192772,0.8674698795180723,83
169,12,p95,lstm,327,136,1122,0.34205020920502094,0.20630914826498423,0.22567287784679088,0.2937365010799136,1449
169,12,p95,persistence,213,1237,1236,0.14694722318040704,0.07930007446016381,0.14699792960662525,0.853103448275862,1449
169,12,rise,lstm,178,70,945,0.25966447848285923,0.14920368818105617,0.1585040071237756,0.28225806451612906,1123
169,12,rise,persistence,88,985,1035,0.08014571948998178,0.04174573055028463,0.07836153161175423,0.9179869524697111,1123
169,12,siaga3,lstm,0,0,83,0.0,0.0,0.0,,83
169,12,siaga3,persistence,4,79,79,0.04819277108433735,0.024691358024691357,0.04819277108433735,0.9518072289156626,83
169,24,p95,lstm,399,159,1039,0.3997995991983968,0.2498434564809017,0.27746870653685674,0.2849462365591398,1438
169,24,p95,persistence,671,779,767,0.4646814404432133,0.3026612539467749,0.4666203059805285,0.5372413793103449,1438
169,24,rise,lstm,272,107,861,0.35978835978835977,0.21935483870967742,0.24007060900264784,0.28232189973614774,1133
169,24,rise,persistence,444,621,689,0.40400363967242947,0.2531356898517674,0.3918799646954987,0.5830985915492958,1133
169,24,siaga3,lstm,0,0,83,0.0,0.0,0.0,,83
169,24,siaga3,persistence,0,83,83,0.0,0.0,0.0,1.0,83
170,1,p95,lstm,3003,105,194,0.9525773195876288,0.9094488188976378,0.9393181107288082,0.033783783783783786,3197
170,1,p95,persistence,2960,229,237,0.9270278734732227,0.8639813193228254,0.925868001251173,0.0718093446221386,3197
170,1,rise,lstm,312,19,69,0.8764044943820225,0.78,0.8188976377952756,0.05740181268882175,381
170,1,rise,persistence,303,53,78,0.8222523744911805,0.6981566820276498,0.7952755905511811,0.14887640449438203,381
170,1,siaga3,lstm,1571,82,296,0.8926136363636363,0.806054386865059,0.8414568826995179,0.049606775559588624,1867
170,1,siaga3,persistence,1632,229,235,0.8755364806866953,0.7786259541984732,0.874129619710766,0.123052122514777,1867
170,6,p95,lstm,1746,416,1451,0.6516141071095354,0.4832549128148353,0.5461370034407257,0.19241443108233117,3197
170,6,p95,persistence,2105,1084,1092,0.6592546194801128,0.4917075449661294,0.658429777916797,0.33991846973973033,3197
170,6,rise,lstm,92,82,231,0.3702213279678068,0.2271604938271605,0.2848297213622291,0.47126436781609193,323
170,6,rise,persistence,102,144,221,0.3585237258347979,0.21841541755888652,0.3157894736842105,0.5853658536585366,323
170,6,siaga3,lstm,586,346,1281,0.41872097177563417,0.26479891549932216,0.3138725227637922,0.37124463519313305,1867
