stasiun_id,horizon,level,method,tp,fp,fn,f1,csi,pod,far,n_obs_hours
162,1,siaga2,lstm,3696,136,245,0.9509841759938248,0.9065489330389993,0.9378330373001776,0.03549060542797495,3941
162,1,siaga2,persistence,3442,484,499,0.8750476674717172,0.7778531073446328,0.8733823902562802,0.12328069281711666,3941
162,1,siaga3,lstm,8167,88,218,0.981610576923077,0.9638852826625752,0.9740011926058437,0.010660205935796486,8385
162,1,siaga3,persistence,7931,436,454,0.9468720152817574,0.8991044099308468,0.945855694692904,0.052109477710051394,8385
162,6,siaga2,lstm,3338,382,603,0.8714267066962538,0.7721489706222531,0.8469931489469678,0.10268817204301076,3941
162,6,siaga2,persistence,1294,2633,2647,0.3289273004575496,0.19683602068755704,0.3283430601370211,0.6704863763687293,3941
162,6,siaga3,lstm,7836,349,542,0.9462053975729035,0.8979030594706084,0.9353067557889712,0.042638973732437385,8378
162,6,siaga3,persistence,6063,2304,2315,0.7241564646163033,0.5675903388878487,0.7236810694676534,0.2753675152384367,8378
162,12,siaga2,lstm,3351,282,583,0.8856878551605656,0.7948292220113852,0.8518047788510422,0.07762180016515277,3934
162,12,siaga2,persistence,159,3760,3775,0.04049407869603973,0.020665453600207953,0.04041687849517031,0.9594284256187803,3934
162,12,siaga3,lstm,7910,396,457,0.9488394410124152,0.9026589067670889,0.9453806621250149,0.04767637852155068,8367
162,12,siaga3,persistence,5275,3077,3092,0.6310186015910042,0.46094023068857043,0.6304529700011952,0.3684147509578544,8367
162,24,siaga2,lstm,3327,352,595,0.8754111301144586,0.7784277023865231,0.8482916879143294,0.09567817341668931,3922
162,24,siaga2,persistence,3392,522,530,0.8657478305257784,0.7632763276327633,0.8648648648648649,0.13336739908022482,3922
162,24,siaga3,lstm,7834,394,507,0.9456213410586034,0.8968517458500286,0.9392159213523559,0.0478852698104035,8341
162,24,siaga3,persistence,7835,501,506,0.9396174371889429,0.8861117394254694,0.9393358110538305,0.06010076775431862,8341
164,1,siaga2,lstm,1,1,3,0.3333333333333333,0.2,0.25,0.5,4
164,1,siaga2,persistence,1,3,3,0.25,0.14285714285714285,0.25,0.75,4
164,1,siaga3,lstm,2881,64,3050,0.6491662911221271,0.4805671392827356,0.4857528241443264,0.02173174872665535,5931
164,1,siaga3,persistence,5657,158,274,0.9632215222203303,0.9290523895549351,0.9538020569887035,0.027171109200343938,5931
164,6,siaga2,lstm,0,534,4,0.0,0.0,0.0,1.0,4
164,6,siaga2,persistence,1,3,3,0.25,0.14285714285714285,0.25,0.75,4
164,6,siaga3,lstm,1095,140,4806,0.3068946188340807,0.18126138056613145,0.18556176919166242,0.11336032388663968,5901
164,6,siaga3,persistence,5363,452,538,0.9155001707067258,0.8441681095545411,0.908829012031859,0.07773000859845228,5901
164,12,siaga2,lstm,0,117,4,0.0,0.0,0.0,1.0,4
164,12,siaga2,persistence,0,4,4,0.0,0.0,0.0,1.0,4
164,12,siaga3,lstm,684,89,5196,0.20562152412445514,0.11459205897135198,0.11632653061224489,0.11513583441138421,5880
164,12,siaga3,persistence,5268,521,612,0.9029051332590625,0.8229964068114357,0.8959183673469387,0.08999827258593884,5880
164,24,siaga2,lstm,0,0,4,0.0,0.0,0.0,,4
164,24,siaga2,persistence,0,4,4,0.0,0.0,0.0,1.0,4
164,24,siaga3,lstm,973,213,4871,0.2768136557610242,0.16064058114578175,0.1664955509924709,0.17959527824620575,5844
164,24,siaga3,persistence,5180,591,664,0.8919500645716746,0.804972804972805,0.8863791923340179,0.10240859469762606,5844
166,1,siaga2,lstm,55,12,34,0.7051282051282052,0.5445544554455446,0.6179775280898876,0.1791044776119403,89
166,1,siaga2,persistence,71,17,18,0.8022598870056498,0.6698113207547169,0.797752808988764,0.19318181818181818,89
166,1,siaga3,lstm,2260,208,177,0.9215086646279307,0.8544423440453687,0.9273697168649979,0.08427876823338736,2437
166,1,siaga3,persistence,2219,168,218,0.9199834162520729,0.8518234165067179,0.9105457529749692,0.07038123167155426,2437
166,6,siaga2,lstm,16,77,73,0.17582417582417584,0.0963855421686747,0.1797752808988764,0.8279569892473119,89
166,6,siaga2,persistence,28,60,61,0.3163841807909605,0.18791946308724833,0.3146067415730337,0.6818181818181818,89
166,6,siaga3,lstm,1410,393,1010,0.6677717262609519,0.5012442232492001,0.5826446280991735,0.21797004991680533,2420
166,6,siaga3,persistence,1586,801,834,0.6598710214270855,0.4923936665631791,0.6553719008264463,0.3355676581483033,2420
166,12,siaga2,lstm,0,16,89,0.0,0.0,0.0,1.0,89
166,12,siaga2,persistence,13,69,76,0.15204678362573099,0.08227848101265822,0.14606741573033707,0.8414634146341463,89
166,12,siaga3,lstm,1321,351,1084,0.6480255089526613,0.4793178519593614,0.5492723492723492,0.20992822966507177,2405
166,12,siaga3,persistence,1303,1065,1102,0.5459878483134297,0.3755043227665706,0.5417879417879418,0.4497466216216216,2405
166,24,siaga2,lstm,0,0,85,0.0,0.0,0.0,,85
166,24,siaga2,persistence,11,65,74,0.13664596273291926,0.07333333333333333,0.12941176470588237,0.8552631578947368,85
166,24,siaga3,lstm,1407,363,999,0.6738505747126436,0.5081256771397616,0.5847880299251871,0.20508474576271185,2406
166,24,siaga3,persistence,1733,625,673,0.7275398824517213,0.5717584955460244,0.7202826267664173,0.2650551314673452,2406
167,1,siaga2,lstm,0,0,11,0.0,0.0,0.0,,11
167,1,siaga2,persistence,10,1,1,0.9090909090909091,0.8333333333333334,0.9090909090909091,0.09090909090909091,11
167,1,siaga3,lstm,25,6,3,0.847457627118644,0.7352941176470589,0.8928571428571429,0.1935483870967742,28
167,1,siaga3,persistence,26,2,2,0.9285714285714286,0.8666666666666667,0.9285714285714286,0.07142857142857142,28
167,6,siaga2,lstm,0,0,11,0.0,0.0,0.0,,11
167,6,siaga2,persistence,5,6,6,0.45454545454545453,0.29411764705882354,0.45454545454545453,0.5454545454545454,11
167,6,siaga3,lstm,0,0,28,0.0,0.0,0.0,,28
