event,stasiun_id,horizon,method,tp,fp,fn,f1,csi,pod,far,n_obs_hours,t_first_obs_exceed,max_lead_hours
E2,162,1,persistence,119,13,13,0.9015151515151515,0.8206896551724138,0.9015151515151515,0.09848484848484848,132,2026-01-11 00:00:00,24.0
E2,162,6,lstm,129,18,3,0.9247311827956989,0.86,0.9772727272727273,0.12244897959183673,132,2026-01-11 00:00:00,24.0
E2,162,6,persistence,63,72,69,0.47191011235955055,0.3088235294117647,0.4772727272727273,0.5333333333333333,132,2026-01-11 00:00:00,24.0
E2,162,12,lstm,115,3,17,0.92,0.8518518518518519,0.8712121212121212,0.025423728813559324,132,2026-01-11 00:00:00,24.0
E2,162,12,persistence,3,130,129,0.022641509433962263,0.011450381679389313,0.022727272727272728,0.9774436090225563,132,2026-01-11 00:00:00,24.0
E2,162,24,lstm,124,9,8,0.9358490566037736,0.8794326241134752,0.9393939393939394,0.06766917293233082,132,2026-01-11 00:00:00,24.0
E2,162,24,persistence,122,9,10,0.9277566539923955,0.8652482269503546,0.9242424242424242,0.06870229007633588,132,2026-01-11 00:00:00,24.0
E6,162,1,lstm,50,0,1,0.9900990099009901,0.9803921568627451,0.9803921568627451,0.0,51,2025-07-05 00:00:00,0.0
E6,162,1,persistence,48,3,3,0.9411764705882353,0.8888888888888888,0.9411764705882353,0.058823529411764705,51,2025-07-05 00:00:00,0.0
E6,162,6,lstm,48,1,3,0.96,0.9230769230769231,0.9411764705882353,0.02040816326530612,51,2025-07-05 00:00:00,0.0
E6,162,6,persistence,35,18,16,0.6730769230769231,0.5072463768115942,0.6862745098039216,0.33962264150943394,51,2025-07-05 00:00:00,0.0
E6,162,12,lstm,49,4,2,0.9423076923076923,0.8909090909090909,0.9607843137254902,0.07547169811320754,51,2025-07-05 00:00:00,0.0
E6,162,12,persistence,30,22,21,0.5825242718446602,0.410958904109589,0.5882352941176471,0.4230769230769231,51,2025-07-05 00:00:00,0.0
E6,162,24,lstm,49,4,2,0.9423076923076923,0.8909090909090909,0.9607843137254902,0.07547169811320754,51,2025-07-05 00:00:00,0.0
E6,162,24,persistence,48,6,3,0.9142857142857143,0.8421052631578947,0.9411764705882353,0.1111111111111111,51,2025-07-05 00:00:00,0.0
E7,162,1,lstm,87,1,4,0.9720670391061452,0.9456521739130435,0.9560439560439561,0.011363636363636364,91,2026-06-01 05:00:00,12.0
E7,162,1,persistence,86,4,5,0.9502762430939227,0.9052631578947369,0.945054945054945,0.044444444444444446,91,2026-06-01 05:00:00,12.0
E7,162,6,lstm,88,1,3,0.9777777777777777,0.9565217391304348,0.967032967032967,0.011235955056179775,91,2026-06-01 05:00:00,12.0
E7,162,6,persistence,63,27,28,0.6961325966850829,0.5338983050847458,0.6923076923076923,0.3,91,2026-06-01 05:00:00,12.0
E7,162,12,lstm,87,0,4,0.9775280898876404,0.9560439560439561,0.9560439560439561,0.0,91,2026-06-01 05:00:00,12.0
E7,162,12,persistence,60,30,31,0.6629834254143646,0.49586776859504134,0.6593406593406593,0.3333333333333333,91,2026-06-01 05:00:00,12.0
E7,162,24,lstm,85,0,6,0.9659090909090909,0.9340659340659341,0.9340659340659341,0.0,91,2026-06-01 05:00:00,12.0
E7,162,24,persistence,87,3,4,0.9613259668508287,0.925531914893617,0.9560439560439561,0.03333333333333333,91,2026-06-01 05:00:00,12.0
E2,164,1,lstm,82,0,189,0.46458923512747874,0.3025830258302583,0.3025830258302583,0.0,271,2026-01-11 00:00:00,12.0
E2,164,1,persistence,264,5,7,0.9777777777777777,0.9565217391304348,0.974169741697417,0.01858736059479554,271,2026-01-11 00:00:00,12.0
E2,164,6,lstm,15,0,256,0.1048951048951049,0.055350553505535055,0.055350553505535055,0.0,271,2026-01-11 00:00:00,12.0
E2,164,6,persistence,252,17,19,0.9333333333333333,0.875,0.9298892988929889,0.06319702602230483,271,2026-01-11 00:00:00,12.0
E2,164,12,lstm,11,0,260,0.07801418439716312,0.04059040590405904,0.04059040590405904,0.0,271,2026-01-11 00:00:00,12.0
E2,164,12,persistence,253,16,18,0.937037037037037,0.8815331010452961,0.933579335793358,0.05947955390334572,271,2026-01-11 00:00:00,12.0
E2,164,24,lstm,10,0,261,0.0711743772241993,0.03690036900369004,0.03690036900369004,0.0,271,2026-01-11 00:00:00,12.0
E2,164,24,persistence,257,18,14,0.9413919413919414,0.889273356401384,0.948339483394834,0.06545454545454546,271,2026-01-11 00:00:00,12.0
E6,164,1,lstm,0,0,0,,,,,0,,
E6,164,1,persistence,0,0,0,,,,,0,,
E6,164,6,lstm,0,0,0,,,,,0,,
E6,164,6,persistence,0,0,0,,,,,0,,
E6,164,12,lstm,0,0,0,,,,,0,,
E6,164,12,persistence,0,0,0,,,,,0,,
E6,164,24,lstm,0,0,0,,,,,0,,
E6,164,24,persistence,0,0,0,,,,,0,,
E7,164,1,lstm,39,0,9,0.896551724137931,0.8125,0.8125,0.0,48,2026-06-01 00:00:00,12.0
E7,164,1,persistence,43,0,5,0.945054945054945,0.8958333333333334,0.8958333333333334,0.0,48,2026-06-01 00:00:00,12.0
E7,164,6,lstm,27,0,21,0.72,0.5625,0.5625,0.0,48,2026-06-01 00:00:00,12.0
E7,164,6,persistence,43,0,5,0.945054945054945,0.8958333333333334,0.8958333333333334,0.0,48,2026-06-01 00:00:00,12.0
E7,164,12,lstm,23,0,25,0.647887323943662,0.4791666666666667,0.4791666666666667,0.0,48,2026-06-01 00:00:00,12.0
E7,164,12,persistence,42,0,6,0.9333333333333333,0.875,0.875,0.0,48,2026-06-01 00:00:00,12.0
E7,164,24,lstm,40,0,14,0.851063829787234,0.7407407407407407,0.7407407407407407,0.0,54,2026-06-01 00:00:00,12.0
E7,164,24,persistence,48,0,6,0.9411764705882353,0.8888888888888888,0.8888888888888888,0.0,54,2026-06-01 00:00:00,12.0
E2,166,1,lstm,28,0,2,0.9655172413793104,0.9333333333333333,0.9333333333333333,0.0,30,2026-01-12 00:00:00,0.0
E2,166,1,persistence,27,1,3,0.9310344827586207,0.8709677419354839,0.9,0.03571428571428571,30,2026-01-12 00:00:00,0.0
E2,166,6,lstm,18,11,12,0.6101694915254238,0.43902439024390244,0.6,0.3793103448275862,30,2026-01-12 00:00:00,0.0
E2,166,6,persistence,17,6,13,0.6415094339622641,0.4722222222222222,0.5666666666666667,0.2608695652173913,30,2026-01-12 00:00:00,0.0
E2,166,12,lstm,7,3,23,0.35,0.21212121212121213,0.23333333333333334,0.3,30,2026-01-12 00:00:00,0.0
E2,166,12,persistence,11,6,19,0.46808510638297873,0.3055555555555556,0.36666666666666664,0.35294117647058826,30,2026-01-12 00:00:00,0.0
E2,166,24,lstm,0,5,30,0.0,0.0,0.0,1.0,30,2026-01-12 00:00:00,0.0
E2,166,24,persistence,0,12,30,0.0,0.0,0.0,1.0,30,2026-01-12 00:00:00,0.0
E6,166,1,lstm,20,0,0,1.0,1.0,1.0,0.0,20,2025-07-06 23:00:00,1.0
E6,166,1,persistence,15,1,5,0.8333333333333334,0.7142857142857143,0.75,0.0625,20,2025-07-06 23:00:00,1.0
E6,166,6,lstm,15,2,0,0.9375,0.8823529411764706,1.0,0.11764705882352941,15,2025-07-06 23:00:00,1.0
E6,166,6,persistence,10,6,5,0.6451612903225806,0.47619047619047616,0.6666666666666666,0.375,15,2025-07-06 23:00:00,1.0
E6,166,12,lstm,9,4,0,0.8181818181818182,0.6923076923076923,1.0,0.3076923076923077,9,2025-07-06 23:00:00,1.0
E6,166,12,persistence,9,1,0,0.9473684210526315,0.9,1.0,0.1,9,2025-07-06 23:00:00,1.0
E6,166,24,lstm,0,1,0,0.0,0.0,,1.0,0,2025-07-06 23:00:00,1.0
E6,166,24,persistence,0,3,0,0.0,0.0,,1.0,0,2025-07-06 23:00:00,1.0
E7,166,1,lstm,0,0,0,,,,,0,,
E7,166,1,persistence,0,0,0,,,,,0,,
E7,166,6,lstm,0,0,0,,,,,0,,
E7,166,6,persistence,0,0,0,,,,,0,,
E7,166,12,lstm,0,0,0,,,,,0,,
E7,166,12,persistence,0,0,0,,,,,0,,
E7,166,24,lstm,0,0,0,,,,,0,,
E7,166,24,persistence,0,0,0,,,,,0,,
E2,167,1,lstm,25,6,3,0.847457627118644,0.7352941176470589,0.8928571428571429,0.1935483870967742,28,2026-01-12 04:00:00,0.0
E2,167,1,persistence,26,2,2,0.9285714285714286,0.8666666666666667,0.9285714285714286,0.07142857142857142,28,2026-01-12 04:00:00,0.0
E2,167,6,lstm,0,0,28,0.0,0.0,0.0,,28,2026-01-12 04:00:00,0.0
E2,167,6,persistence,16,12,12,0.5714285714285714,0.4,0.5714285714285714,0.42857142857142855,28,2026-01-12 04:00:00,0.0
E2,167,12,lstm,0,0,28,0.0,0.0,0.0,,28,2026-01-12 04:00:00,0.0
E2,167,12,persistence,5,23,23,0.17857142857142858,0.09803921568627451,0.17857142857142858,0.8214285714285714,28,2026-01-12 04:00:00,0.0
E2,167,24,lstm,0,0,28,0.0,0.0,0.0,,28,2026-01-12 04:00:00,0.0
E2,167,24,persistence,0,28,28,0.0,0.0,0.0,1.0,28,2026-01-12 04:00:00,0.0
E6,167,1,lstm,0,0,0,,,,,0,,
E6,167,1,persistence,0,0,0,,,,,0,,
E6,167,6,lstm,0,0,0,,,,,0,,
E6,167,6,persistence,0,0,0,,,,,0,,
E6,167,12,lstm,0,0,0,,,,,0,,
E6,167,12,persistence,0,0,0,,,,,0,,
E6,167,24,lstm,0,0,0,,,,,0,,
E6,167,24,persistence,0,0,0,,,,,0,,
E7,167,1,lstm,0,0,0,,,,,0,,
E7,167,1,persistence,0,0,0,,,,,0,,
E7,167,6,lstm,0,0,0,,,,,0,,
E7,167,6,persistence,0,0,0,,,,,0,,
E7,167,12,lstm,0,0,0,,,,,0,,
E7,167,12,persistence,0,0,0,,,,,0,,
E7,167,24,lstm,0,0,0,,,,,0,,
E7,167,24,persistence,0,0,0,,,,,0,,
E2,169,1,lstm,24,0,7,0.8727272727272727,0.7741935483870968,0.7741935483870968,0.0,31,2026-01-12 01:00:00,0.0
E2,169,1,persistence,26,5,5,0.8387096774193549,0.7222222222222222,0.8387096774193549,0.16129032258064516,31,2026-01-12 01:00:00,0.0
E2,169,6,lstm,0,0,31,0.0,0.0,0.0,,31,2026-01-12 01:00:00,0.0
E2,169,6,persistence,8,18,23,0.2807017543859649,0.16326530612244897,0.25806451612903225,0.6923076923076923,31,2026-01-12 01:00:00,0.0
E2,169,12,lstm,0,0,31,0.0,0.0,0.0,,31,2026-01-12 01:00:00,0.0
E2,169,12,persistence,4,22,27,0.14035087719298245,0.07547169811320754,0.12903225806451613,0.8461538461538461,31,2026-01-12 01:00:00,0.0
E2,169,24,lstm,0,0,31,0.0,0.0,0.0,,31,2026-01-12 01:00:00,0.0
E2,169,24,persistence,0,16,31,0.0,0.0,0.0,1.0,31,2026-01-12 01:00:00,0.0
E6,169,1,lstm,3,1,2,0.6666666666666666,0.5,0.6,0.25,5,2025-07-05 16:00:00,0.0
E6,169,1,persistence,3,2,2,0.6,0.42857142857142855,0.6,0.4,5,2025-07-05 16:00:00,0.0
E6,169,6,lstm,0,0,5,0.0,0.0,0.0,,5,2025-07-05 16:00:00,0.0
E6,169,6,persistence,0,5,5,0.0,0.0,0.0,1.0,5,2025-07-05 16:00:00,0.0
E6,169,12,lstm,0,0,5,0.0,0.0,0.0,,5,2025-07-05 16:00:00,0.0
E6,169,12,persistence,0,3,5,0.0,0.0,0.0,1.0,5,2025-07-05 16:00:00,0.0
E6,169,24,lstm,0,0,5,0.0,0.0,0.0,,5,2025-07-05 16:00:00,0.0
E6,169,24,persistence,0,3,5,0.0,0.0,0.0,1.0,5,2025-07-05 16:00:00,0.0
E7,169,1,lstm,0,0,0,,,,,0,,
E7,169,1,persistence,0,0,0,,,,,0,,
E7,169,6,lstm,0,0,0,,,,,0,,
E7,169,6,persistence,0,0,0,,,,,0,,
E7,169,12,lstm,0,0,0,,,,,0,,
E7,169,12,persistence,0,0,0,,,,,0,,
E7,169,24,lstm,0,0,0,,,,,0,,
E7,169,24,persistence,0,0,0,,,,,0,,
E2,170,1,lstm,27,0,1,0.9818181818181818,0.9642857142857143,0.9642857142857143,0.0,28,2026-01-12 01:00:00,1.0
E2,170,1,persistence,24,3,4,0.8727272727272727,0.7741935483870968,0.8571428571428571,0.1111111111111111,28,2026-01-12 01:00:00,1.0
E2,170,6,lstm,15,21,13,0.46875,0.30612244897959184,0.5357142857142857,0.5833333333333334,28,2026-01-12 01:00:00,1.0
E2,170,6,persistence,8,17,20,0.3018867924528302,0.17777777777777778,0.2857142857142857,0.68,28,2026-01-12 01:00:00,1.0
E2,170,12,lstm,0,0,28,0.0,0.0,0.0,,28,2026-01-12 01:00:00,1.0
E2,170,12,persistence,0,25,28,0.0,0.0,0.0,1.0,28,2026-01-12 01:00:00,1.0
E2,170,24,lstm,0,0,28,0.0,0.0,0.0,,28,2026-01-12 01:00:00,1.0
E2,170,24,persistence,0,18,28,0.0,0.0,0.0,1.0,28,2026-01-12 01:00:00,1.0
E6,170,1,lstm,32,2,2,0.9411764705882353,0.8888888888888888,0.9411764705882353,0.058823529411764705,34,2025-07-05 04:00:00,1.0
E6,170,1,persistence,30,4,4,0.8823529411764706,0.7894736842105263,0.8823529411764706,0.11764705882352941,34,2025-07-05 04:00:00,1.0
E6,170,6,lstm,19,4,15,0.6666666666666666,0.5,0.5588235294117647,0.17391304347826086,34,2025-07-05 04:00:00,1.0
E6,170,6,persistence,18,16,16,0.5294117647058824,0.36,0.5294117647058824,0.47058823529411764,34,2025-07-05 04:00:00,1.0
E6,170,12,lstm,0,0,34,0.0,0.0,0.0,,34,2025-07-05 04:00:00,1.0
E6,170,12,persistence,12,17,22,0.38095238095238093,0.23529411764705882,0.35294117647058826,0.5862068965517241,34,2025-07-05 04:00:00,1.0
E6,170,24,lstm,0,0,34,0.0,0.0,0.0,,34,2025-07-05 04:00:00,1.0
E6,170,24,persistence,21,6,13,0.6885245901639344,0.525,0.6176470588235294,0.2222222222222222,34,2025-07-05 04:00:00,1.0
E7,170,1,lstm,0,0,0,,,,,0,,
E7,170,1,persistence,0,0,0,,,,,0,,
E7,170,6,lstm,0,0,0,,,,,0,,
E7,170,6,persistence,0,0,0,,,,,0,,
E7,170,12,lstm,0,0,0,,,,,0,,
E7,170,12,persistence,0,0,0,,,,,0,,
E7,170,24,lstm,0,0,0,,,,,0,,
E7,170,24,persistence,0,0,0,,,,,0,,
E2,179,1,lstm,0,0,59,0.0,0.0,0.0,,59,2026-01-11 23:00:00,0.0
E2,179,1,persistence,45,11,14,0.782608695652174,0.6428571428571429,0.7627118644067796,0.19642857142857142,59,2026-01-11 23:00:00,0.0
E2,179,6,lstm,0,0,59,0.0,0.0,0.0,,59,2026-01-11 23:00:00,0.0
